serialno,sample_geog,age,race,sex,AGEP,SEX,RAC1P
2013000120678,1,20 to 35,white,male,29,1,1
2013000123726,1,20 to 35,white,male,20,1,1
2013000131665,1,20 to 35,white,male,20,1,1
2013000141436,1,20 to 35,white,male,33,1,1
2013000147738,1,20 to 35,white,male,31,1,1
2013000175488,1,20 to 35,white,male,22,1,1
2013000214927,1,20 to 35,white,male,22,1,1
2013000237929,1,20 to 35,white,male,33,1,1
2013000243054,1,20 to 35,white,male,30,1,1
2013000248758,1,20 to 35,white,male,30,1,1
2013000254257,1,20 to 35,white,male,23,1,1
2013000279823,1,20 to 35,white,male,20,1,1
2013000306447,1,20 to 35,white,male,35,1,1
2013000309598,1,20 to 35,white,male,27,1,1
2013000309598,1,20 to 35,white,male,23,1,1
2013000311150,1,20 to 35,white,male,30,1,1
2013000317603,1,20 to 35,white,male,29,1,1
2013000328821,1,20 to 35,white,male,20,1,1
2013000353129,1,20 to 35,white,male,20,1,1
2013000367305,1,20 to 35,white,male,31,1,1
2013000371835,1,20 to 35,white,male,33,1,1
2013000395658,1,20 to 35,white,male,20,1,1
2013000407799,1,20 to 35,white,male,24,1,1
2013000422677,1,20 to 35,white,male,29,1,1
2013000434693,1,20 to 35,white,male,28,1,1
2013000443951,1,20 to 35,white,male,25,1,1
2013000443951,1,20 to 35,white,male,20,1,1
2013000454753,1,20 to 35,white,male,20,1,1
2013000478778,1,20 to 35,white,male,27,1,1
2013000491796,1,20 to 35,white,male,27,1,1
2013000501521,1,20 to 35,white,male,33,1,1
2013000512996,1,20 to 35,white,male,27,1,1
2013000541445,1,20 to 35,white,male,20,1,1
2013000550773,1,20 to 35,white,male,28,1,1
2013000564299,1,20 to 35,white,male,20,1,1
2013000565630,1,20 to 35,white,male,20,1,1
2013000570857,1,20 to 35,white,male,22,1,1
2013000580729,1,20 to 35,white,male,28,1,1
2013000599829,1,20 to 35,white,male,20,1,1
2013000602107,1,20 to 35,white,male,26,1,1
2013000611232,1,20 to 35,white,male,34,1,1
2013000611851,1,20 to 35,white,male,25,1,1
2013000624234,1,20 to 35,white,male,32,1,1
2013000626148,1,20 to 35,white,male,21,1,1
2013000629061,1,20 to 35,white,male,23,1,1
2013000629061,1,20 to 35,white,male,20,1,1
2013000638560,1,20 to 35,white,male,34,1,1
2013000655047,1,20 to 35,white,male,20,1,1
2013000655047,1,20 to 35,white,male,20,1,1
2013000670358,1,20 to 35,white,male,20,1,1
2013000670358,1,20 to 35,white,male,24,1,1
2013000681467,1,20 to 35,white,male,28,1,1
2013000681467,1,20 to 35,white,male,23,1,1
2013000690709,1,20 to 35,white,male,33,1,1
2013000693387,1,20 to 35,white,male,20,1,1
2013000710273,1,20 to 35,white,male,32,1,1
2013000714381,1,20 to 35,white,male,20,1,1
2013000728409,1,20 to 35,white,male,27,1,1
2013000756961,1,20 to 35,white,male,35,1,1
2013000784740,1,20 to 35,white,male,20,1,1
2013000787215,1,20 to 35,white,male,26,1,1
2013000788043,1,20 to 35,white,male,27,1,1
2013000798497,1,20 to 35,white,male,28,1,1
2013000818534,1,20 to 35,white,male,33,1,1
2013000830213,1,20 to 35,white,male,27,1,1
2013000840163,1,20 to 35,white,male,31,1,1
2013000846784,1,20 to 35,white,male,32,1,1
2013000860916,1,20 to 35,white,male,28,1,1
2013000862316,1,20 to 35,white,male,27,1,1
2013000867783,1,20 to 35,white,male,25,1,1
2013000868046,1,20 to 35,white,male,30,1,1
2013000868408,1,20 to 35,white,male,35,1,1
2013000876850,1,20 to 35,white,male,27,1,1
2013000888280,1,20 to 35,white,male,29,1,1
2013000898156,1,20 to 35,white,male,33,1,1
2013000901012,1,20 to 35,white,male,20,1,1
2013000903156,1,20 to 35,white,male,31,1,1
2013000940442,1,20 to 35,white,male,21,1,1
2013000944526,1,20 to 35,white,male,29,1,1
2013000965164,1,20 to 35,white,male,30,1,1
2013000990924,1,20 to 35,white,male,24,1,1
2013001005642,1,20 to 35,white,male,35,1,1
2013001022404,1,20 to 35,white,male,26,1,1
2013001032742,1,20 to 35,white,male,26,1,1
2013001056733,1,20 to 35,white,male,24,1,1
2013001061771,1,20 to 35,white,male,29,1,1
2013001067818,1,20 to 35,white,male,26,1,1
2013001108077,1,20 to 35,white,male,20,1,1
2013001131225,1,20 to 35,white,male,27,1,1
2013001131225,1,20 to 35,white,male,22,1,1
