state,county,tract,bg,sex1,sex2,age1,age2,age3,race1,race2,race3,pop
35,1,3721,0,3046,3226,1067,3860,1345,822,5026,424,6272
35,1,3722,0,3043,3292,1843,4016,476,1988,3361,986,6335
35,1,3723,0,2656,3061,914,3404,1399,1885,3347,485,5717
35,1,3724,0,1564,1753,550,1978,789,863,2157,297,3317
35,1,3725,0,2099,2461,975,2900,685,1579,2448,533,4560
35,1,3726,0,1140,1238,467,1450,461,356,1756,266,2378
35,1,3728,0,2100,2254,757,2968,629,1131,2756,467,4354
35,1,3729,0,906,906,417,1093,302,297,1391,124,1812
35,1,3730,0,2371,2449,1213,2850,757,788,3499,533,4820
35,1,3731,0,1778,1815,935,2206,452,745,2573,275,3593
35,1,3732,0,3547,3681,2058,4654,516,1562,4628,1038,7228
35,1,3733,0,1650,1787,1106,2161,170,1844,826,767,3437
35,1,3735,0,3036,3287,1387,4139,797,2789,2867,667,6323
35,1,3736,0,905,1015,452,1233,235,937,768,215,1920
35,1,3737,0,1371,1405,565,1771,440,413,2112,251,2776
35,1,3738,0,2289,2511,879,3159,762,904,3354,542,4800
35,1,3803,0,1602,1578,611,2095,474,542,2516,122,3180
35,1,3804,0,2778,2675,1138,3666,649,1062,4179,212,5453
35,1,3805,0,1230,1196,401,1549,476,721,1594,111,2426
35,1,3806,0,1753,1727,667,2386,427,876,2457,147,3480
35,1,3807,0,2324,2164,914,3052,522,1241,3065,182,4488
35,1,4001,0,2347,2351,1325,2936,437,3578,955,165,4698
35,1,4300,0,2502,2527,1363,3083,583,4087,782,160,5029
35,1,4401,0,1608,1568,867,1911,398,2834,268,74,3176
35,1,4402,0,1986,2061,1031,2457,559,3241,684,122,4047
35,1,4501,0,1776,1746,1063,2063,396,3128,267,127,3522
35,1,4502,0,1760,1801,1002,2102,457,3015,439,107,3561
35,1,4602,0,2124,2191,1001,2694,620,3046,1127,142,4315
35,1,4603,0,1779,1851,937,2148,545,2821,682,127,3630
35,1,4604,0,2754,2720,1494,3378,602,4280,1062,132,5474
35,1,4712,0,3475,3672,2469,4419,259,5638,923,586,7147
35,1,4713,0,3389,3505,2357,4036,501,5686,861,347,6894
35,1,4715,0,2712,2497,1700,3189,320,4416,669,124,5209
35,1,4716,0,947,1071,279,1447,292,731,1024,263,2018
35,1,4717,0,3678,3874,1929,5147,476,3125,3432,995,7552
35,1,4720,0,1653,1868,865,2098,558,1161,1995,365,3521
35,1,4722,0,2270,2435,993,3301,411,2024,2086,595,4705
35,1,4723,0,3555,3723,1941,4708,629,2960,3711,607,7278
35,1,4724,0,1593,1596,791,2131,267,1434,1509,246,3189
35,1,4725,0,1786,1930,951,2431,334,1921,1482,313,3716
35,1,4726,0,1162,1294,598,1681,177,1178,1096,182,2456
35,1,4727,0,942,942,419,1232,233,886,872,126,1884
35,1,4728,0,2448,2587,1256,3259,520,2641,1918,476,5035
35,1,4729,0,1674,1845,758,2203,558,1874,1336,309,3519
35,1,4733,0,3498,3720,2624,4312,282,6182,658,378,7218
35,1,4734,0,3576,3699,2760,4306,209,6473,485,317,7275
35,1,4735,0,1112,1127,850,1310,79,1964,148,127,2239
35,1,4736,0,544,538,417,636,29,842,133,107,1082
35,1,4737,0,2783,2810,2063,3361,169,3901,1096,596,5593
35,1,4738,0,2648,2702,1901,3223,226,4154,771,425,5350
35,1,4739,0,3248,3497,2393,4119,233,5431,695,619,6745
35,1,4740,0,3519,3794,2451,4464,398,5809,976,528,7313
35,1,4741,0,3506,3650,2396,4262,498,5398,944,814,7156
35,1,4742,0,2923,3328,1673,4076,502,3785,1816,650,6251
35,1,4743,0,1475,1595,969,1973,128,1782,852,436,3070
35,1,4744,0,2480,2595,1493,3282,300,2894,1562,619,5075
35,1,4745,0,3040,3253,2037,3893,363,2723,2831,739,6293
35,1,4746,0,3378,3659,2193,4485,359,3316,2904,817,7037
35,1,4747,0,2405,2565,1462,3026,482,2264,2150,556,4970
35,1,4748,0,4518,4672,3208,5502,480,3828,4533,829,9190
35,1,4749,0,1851,2303,986,2846,322,2525,1052,577,4154
35,1,4750,0,3102,3420,1942,4139,441,4039,1694,789,6522
35,1,4751,0,1207,1249,643,1554,259,1063,1170,223,2456
35,1,4752,0,1782,1974,922,2463,371,1497,1726,533,3756
35,1,4753,0,1719,1866,919,2305,361,1543,1680,362,3585
35,1,940500,0,1387,1472,353,1598,908,318,2402,139,2859
35,1,940600,0,3331,3373,2339,4015,350,2756,1857,2091,6704
35,1,940700,0,1171,1318,691,1512,286,314,40,2135,2489
35,43,10503,0,1674,1738,844,2085,483,2476,741,195,3412
35,43,10601,0,2107,2220,805,2677,845,1273,2902,152,4327
35,43,10602,0,1905,2093,703,2523,772,977,2765,256,3998
35,43,10702,0,3005,3190,1287,3864,1044,1950,3764,481,6195
35,43,10703,0,4112,4191,2300,5286,717,3062,4553,688,8303
35,43,10705,0,2911,3086,1513,3740,744,2119,3414,464,5997
35,43,10712,0,2613,2560,1418,3248,507,2028,2704,441,5173
35,43,10713,0,2612,2743,1487,3453,415,2303,2625,427,5355
35,43,10714,0,2254,2439,1166,2759,768,1272,2905,516,4693
35,43,10715,0,1688,1889,605,2150,822,947,2275,355,3577
35,43,10716,0,2645,3237,1147,3130,1605,1764,3659,459,5882
35,43,10717,0,4437,4559,2820,5551,625,3955,4003,1038,8996
35,43,10718,0,2358,2445,1420,2992,391,1762,2621,420,4803
35,43,10719,0,1896,2012,875,2463,570,1401,2236,271,3908
35,43,10720,0,3672,3838,2627,4532,351,2779,3773,958,7510
35,43,10721,0,2010,2321,1261,2710,360,1843,2061,427,4331
35,43,10722,0,2523,2385,1608,3022,278,2046,2404,458,4908
35,43,10723,0,4933,5021,3605,5904,445,3986,5001,967,9954
35,43,10900,0,1138,1178,585,1323,408,1198,778,340,2316
35,43,11000,0,965,998,464,1158,341,628,509,826,1963
35,43,11100,0,3336,3476,977,4459,1376,1297,4349,1166,6812
35,43,11200,0,1351,1352,571,1687,445,567,1253,883,2703
35,43,940200,0,1746,1807,1192,2093,268,257,59,3237,3553
35,43,940300,0,0,0,0,0,0,0,0,0,0
35,43,940500,0,1998,2083,1195,2483,403,3303,543,235,4081
35,43,940600,0,880,932,525,1111,176,22,1,1789,1812
35,43,940700,0,1732,1846,1199,2114,265,554,219,2805,3578
35,43,940900,0,1333,1327,915,1488,257,47,42,2571,2660
35,49,10310,0,622,669,248,848,195,328,915,48,1291
35,49,10311,0,2143,2100,1036,2756,451,865,3190,188,4243
35,49,10312,0,2285,2290,1094,2989,492,1188,3137,250,4575
35,57,963201,0,2066,2012,995,2658,425,1152,2744,182,4078
35,57,963202,0,1533,1624,907,1810,440,1318,1677,162,3157
35,57,963600,0,3147,3092,1556,3726,957,2507,3478,254,6239
35,57,963700,0,1133,1161,493,1319,482,1120,1093,81,2294
35,61,940300,0,435,412,251,499,97,114,29,704,847
35,61,970101,0,2340,2368,1660,2721,327,3437,1100,171,4708
35,61,970102,0,3307,3323,1547,4127,956,3657,2658,315,6630
35,61,970200,0,1914,1989,810,2405,688,1463,2303,137,3903
35,61,970301,0,3764,3566,2476,4408,446,5419,1637,274,7330
35,61,970302,0,1329,1442,880,1619,272,1467,1161,143,2771
35,61,970303,0,3245,3275,1521,4121,878,3720,2597,203,6520
35,61,970401,0,2418,2524,1286,2997,659,3296,1493,153,4942
35,61,970404,0,2324,2490,1278,2986,550,2833,1708,273,4814
35,61,970405,0,1476,1495,891,1789,291,1379,1396,196,2971
35,61,970700,0,2794,2837,1448,3448,735,3540,1870,221,5631
35,61,970800,0,2460,2594,1324,2994,736,3319,1531,204,5054
35,61,970901,0,2268,2300,1107,2806,655,3098,1345,125,4568
35,61,970902,0,1368,1294,638,1576,448,1613,970,79,2662
35,61,971000,0,2232,2491,1085,2528,1110,2183,2313,227,4723
35,61,971100,0,822,773,442,970,183,912,622,61,1595
35,61,971300,0,1052,1021,518,1285,270,975,895,203,2073
35,61,971400,0,1632,1666,983,1997,318,1738,1289,271,3298
